2025-04-15 23:22:31,693 - WARNING -   File .ly corrispondente non trovato per op840-4.mid, uso solo analisi MIDI.
2025-04-15 23:22:31,917 - WARNING -   File .ly corrispondente non trovato per op840-5.mid, uso solo analisi MIDI.
2025-04-15 23:22:32,066 - WARNING -   File .ly corrispondente non trovato per op840-6.mid, uso solo analisi MIDI.
2025-04-15 23:22:32,349 - WARNING -   File .ly corrispondente non trovato per op840-7.mid, uso solo analisi MIDI.
2025-04-15 23:22:32,610 - WARNING -   File .ly corrispondente non trovato per op840-8.mid, uso solo analisi MIDI.
2025-04-15 23:22:32,730 - WARNING -   File .ly corrispondente non trovato per op840-9.mid, uso solo analisi MIDI.
2025-04-15 23:22:35,100 - WARNING -   File .ly corrispondente non trovato per L117-prel-4.mid, uso solo analisi MIDI.
2025-04-15 23:22:37,834 - WARNING -   File .ly corrispondente non trovato per Envoi_orgue.mid, uso solo analisi MIDI.
2025-04-15 23:22:38,734 - WARNING -   File .ly corrispondente non trovato per Sonata5-1-Allegro.mid, uso solo analisi MIDI.
2025-04-15 23:22:51,748 - WARNING -   File .ly corrispondente non trovato per DukasVillanelle.mid, uso solo analisi MIDI.
2025-04-15 23:23:01,418 - WARNING -   File .ly corrispondente non trovato per GF_pavane50.mid, uso solo analisi MIDI.
2025-04-15 23:23:02,822 - INFO - Elaborato 800/1862 file MIDI...
2025-04-15 23:23:03,167 - WARNING -   File .ly corrispondente non trovato per oldfolks-1.mid, uso solo analisi MIDI.
2025-04-15 23:23:03,333 - WARNING -   File .ly corrispondente non trovato per oldfolks-2.mid, uso solo analisi MIDI.
2025-04-15 23:23:03,500 - WARNING -   File .ly corrispondente non trovato per oldfolks-3.mid, uso solo analisi MIDI.
2025-04-15 23:23:08,537 - WARNING -   File .ly corrispondente non trovato per Toccata-1.mid, uso solo analisi MIDI.
2025-04-15 23:23:23,975 - WARNING -   File .ly corrispondente non trovato per GlazunovReveries.mid, uso solo analisi MIDI.
2025-04-15 23:23:26,378 - WARNING -   File .ly corrispondente non trovato per Litania_a_3-1.mid, uso solo analisi MIDI.
2025-04-15 23:23:51,980 - INFO - Elaborato 1000/1862 file MIDI...
2025-04-15 23:23:51,981 - WARNING -   File .ly corrispondente non trovato per op1_4.mid, uso solo analisi MIDI.
2025-04-15 23:24:02,159 - WARNING -   File .ly corrispondente non trovato per 27-tmeiskin.mid, uso solo analisi MIDI.
2025-04-15 23:24:03,900 - WARNING -   File .ly corrispondente non trovato per bethena.mid, uso solo analisi MIDI.
2025-04-15 23:24:11,035 - WARNING -   File .ly corrispondente non trovato per solace.mid, uso solo analisi MIDI.
2025-04-15 23:24:25,305 - WARNING -   File .ly corrispondente non trovato per samia.mid, uso solo analisi MIDI.
2025-04-15 23:24:32,536 - WARNING -   File .ly corrispondente non trovato per Armide.mid, uso solo analisi MIDI.
2025-04-15 23:24:41,728 - WARNING -   File .ly corrispondente non trovato per op121.mid, uso solo analisi MIDI.
2025-04-15 23:24:45,697 - WARNING -   File .ly corrispondente non trovato per nr1-a4-1.mid, uso solo analisi MIDI.
2025-04-15 23:24:46,405 - WARNING -   File .ly corrispondente non trovato per nr1-let-1.mid, uso solo analisi MIDI.
2025-04-15 23:24:53,701 - WARNING -   File .ly corrispondente non trovato per guitar-skole-no-04.mid, uso solo analisi MIDI.
2025-04-15 23:24:53,748 - WARNING -   File .ly corrispondente non trovato per guitar-skole-no-05.mid, uso solo analisi MIDI.
2025-04-15 23:24:53,815 - WARNING -   File .ly corrispondente non trovato per guitar-skole-no-07.mid, uso solo analisi MIDI.
2025-04-15 23:24:53,880 - INFO - Elaborato 1200/1862 file MIDI...
2025-04-15 23:24:53,880 - WARNING -   File .ly corrispondente non trovato per guitar-skole-no-09.mid, uso solo analisi MIDI.
